Food_ID,Name,C_Type,Describe
102,Pancakes,3,Fluffy pancakes served with syrup and butter.
103,Egg Sandwich,3,"Toasted sandwich with egg, cheese, and bacon."
104,Aloo Paratha,3,Indian flatbread stuffed with spiced potatoes.
105,Muesli,3,"A healthy mix of oats, nuts, and dried fruits."
106,French Toast,3,"Bread soaked in egg and milk, then fried until golden."
107,Bagel,3,"A dense bread roll, often served with cream cheese."
108,Smoothie Bowl,3,A blend of fruits topped with granola and seeds.
109,Omelet,3,Egg-based dish with vegetables and cheese.
110,Waffles,3,Crispy waffles served with syrup and fruits.
111,Breakfast Burrito,3,"A tortilla filled with eggs, bacon, and veggies."
112,Chicken Curry,4,"Tender chicken simmered in a rich, spiced curry sauce."
113,Fried Rice,4,"Stir-fried rice with vegetables, eggs, and choice of meat."
114,Grilled Chicken,4,Marinated chicken grilled to perfection.
115,Tuna Salad,4,"A fresh salad with tuna, lettuce, tomatoes, and dressing."
116,Beef Stew,4,Slow-cooked beef with vegetables in a hearty broth.
117,Spaghetti Bolognese,4,Pasta served with a rich meat sauce.
2,Pizza,5,Italian style pizza
4,Samosa,5,Crispy fried dough with stuffed potato.
6,Fried Rice,4,Fried rice with chutney.
3,Chicken Momo,4,Chicken Momo home made.
5,Sandwich,3,Only veg sandwich is healthy.
7,Veg Wrapper,4,roti
8,Choupsey,4,noodles
118,Vegetable Stir Fry,4,A mix of stir-fried vegetables in a savory sauce.
119,Lamb Kebabs,4,Grilled lamb skewers with spices and herbs.
120,Caesar Salad,4,Crispy lettuce with Caesar dressing and croutons.
121,Veggie Burger,4,Grilled vegetable patty served in a bun.
122,Nachos,5,Crispy tortilla chips topped with melted cheese and salsa.
123,Spring Rolls,5,Vegetable-filled crispy rolls with dipping sauce.
124,Hot Dog,5,Grilled sausage served in a bun with condiments.
125,Garlic Bread,5,"Bread topped with garlic and butter, baked until crispy."
126,Cheese Balls,5,Fried balls of cheese with a crispy coating.
127,Samosa,5,Crispy pastry filled with spiced potatoes and peas.
128,Chicken Wings,5,Spicy wings served with dipping sauce.
129,Popcorn,5,Lightly salted or buttered popcorn.
130,Fruit Salad,5,Fresh seasonal fruits mixed together.
131,Pretzels,5,Baked twisted bread with salt.
132,Icecream,6,"a frozen dessert typically made from milk or cream that has been flavoured with a sweetener, either sugar or an alternative, and a spice, such as cocoa or vanilla, or with fruit, such as strawberries or peaches."
